,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_polarity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity,sentiment_subjectivity
,count,mean,std,min,25%,50%,75%,max,count,mean,std,min,25%,50%,75%,max
Date,,,,,,,,,,,,,,,,
2010-02-08,49.0,0.280931527372854,0.3657900994624206,-0.7374999999999998,0.125,0.3333333333333333,0.475,1.0,49.0,0.5336159701976027,0.28152725620846286,0.06666666666666668,0.30000000000000004,0.5,0.7833333333333333,1.0
2010-02-09,41.0,0.30714892830746493,0.32782664953150026,-0.375,0.1,0.3333333333333333,0.5,1.0,41.0,0.4704897406116919,0.21469335063032335,0.04166666666666667,0.3555555555555556,0.5,0.6000000000000001,1.0
2010-02-10,21.0,0.25817142513571084,0.24941798400397305,-0.16666666666666666,0.12916666666666668,0.26041666666666663,0.3416666666666667,0.875,21.0,0.519141242355528,0.17498479457984592,0.1,0.375,0.5,0.6666666666666666,0.7761904761904762
2010-02-11,27.0,0.21384446315001868,0.32130064967458505,-0.6,0.1,0.17222222222222222,0.325,1.0,27.0,0.4629536101758325,0.28693804738939194,0.06666666666666668,0.3,0.3625,0.6972222222222222,1.0
2010-02-12,26.0,0.16183582042957045,0.4390495105633362,-0.8,-0.1,0.18592171717171718,0.5,0.8,26.0,0.47557720057720054,0.25296944791708015,0.1,0.29204545454545455,0.5,0.7,0.9
2010-02-13,17.0,0.15995528419701213,0.2878528640740954,-0.5,0.04999999999999999,0.2333333333333333,0.28125,0.6333333333333333,17.0,0.5235060690943044,0.2652989066796839,0.05,0.425,0.5,0.6,1.0
2010-02-14,13.0,0.25550213675213673,0.4145321930834372,-0.46875,-0.1,0.25,0.5,1.0,13.0,0.4428418803418802,0.21849290164444515,0.1,0.3125,0.4444444444444444,0.6,0.8
2010-02-15,19.0,0.1597102604997342,0.19744610099765786,-0.1708333333333333,0.0465909090909091,0.15000000000000002,0.22708333333333333,0.5,19.0,0.4943500797448166,0.15001894949641453,0.16666666666666666,0.38333333333333336,0.5166666666666667,0.5916666666666667,0.7999999999999999
2010-02-16,29.0,0.2598814499676568,0.4161649583412538,-0.625,0.05555555555555555,0.25,0.6,1.0,29.0,0.5097619047619046,0.2808271152198362,0.06666666666666668,0.3,0.5,0.7,1.0
2010-02-17,30.0,0.2722811447811448,0.40132621112502576,-0.5374999999999999,0.042045454545454546,0.30625,0.4875,1.0,30.0,0.5527272727272726,0.24873230726805315,0.06666666666666668,0.4,0.5333333333333333,0.7,1.0
2010-02-18,44.0,0.27907116347457256,0.34548828962557915,-0.75,0.2,0.30527777777777776,0.5,1.0,44.0,0.5204653133062224,0.23128380492325612,0.08333333333333334,0.39722222222222225,0.5,0.6199074074074075,1.0
